_id,N_Processo,Orgao,Situacao_Orgao,Modalidade,Objeto,Itens_Licitado,Valor_Total_Previsto,Valor_Total_Realizado,Quant_Licitada,N_Edital,Data_Publicação,Data_Abertura,CPF_CNPJ,Razao_Social
1,11/004.868/2023,FUNFAZ,Ativo,,CONTRATAÇÃO DE SERVIÇOS PARA DESENVILVIMENTO DE SOLUÇÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO (STIC) - DENOMINADO SISTEMA DE CONTROLE E MONITORAMENTO DAS IMPORTAÇÕES,"Serviço de Desenvolvimento de Solução de Tecnologia da Informação e Comunicação (STIC), denominado Sistema de Controle e Monitoramento das Importações","3438819,0000000000000000","1519920,0000000000000000","25332,00000000",0008/2023,1970-01-01,1970-01-01,24598492000127,AZ TECNOLOGIA EM GESTÃO LTDA.
2,11/004.868/2023,FUNFAZ,Ativo,,CONTRATAÇÃO DE SERVIÇOS PARA DESENVILVIMENTO DE SOLUÇÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO (STIC) - DENOMINADO SISTEMA DE CONTROLE E MONITORAMENTO DAS IMPORTAÇÕES,"Serviço de Desenvolvimento de Solução de Tecnologia da Informação e Comunicação (STIC), denominado Sistema de Controle e Monitoramento das Importações","3438819,0000000000000000","1519920,0000000000000000","25332,00000000",0008/2023,1970-01-01,1970-01-01,24598492000127,AZ TECNOLOGIA EM GESTÃO LTDA.
