_id,N_Processo,Orgao,Situacao_Orgao,Modalidade,Objeto,Itens_Licitado,Valor_Total_Previsto,Valor_Total_Realizado,Quant_Licitada,N_Edital,Data_Publicação,Data_Abertura,CPF_CNPJ,Razao_Social
1,79/018.154/2024,AGEHAB,Ativo,,"Aquisição de seis softwares de design gráfico a ser utilizada na AGEHAB, que possibilita trabalhar com desenhos técnicos, maquete eletrônica, lista de materiais além de desenvolver desenhos técnicos, utilizando a tecnologia Buiding information modeling - BIM,  utilizado no desenvolvimento de projetos arquitetônicos seguros, confiáveis e precisos.",Licença de uso de software,"199518,7800000000000000","199518,7800000000000000","6,00000000",0004/2024,1970-01-01,1970-01-01,4198254000117,MCR SISTEMAS E CONSULTORIA LTDA.
2,79/018.154/2024,AGEHAB,Ativo,,"Aquisição de seis softwares de design gráfico a ser utilizada na AGEHAB, que possibilita trabalhar com desenhos técnicos, maquete eletrônica, lista de materiais além de desenvolver desenhos técnicos, utilizando a tecnologia Buiding information modeling - BIM,  utilizado no desenvolvimento de projetos arquitetônicos seguros, confiáveis e precisos.",Licença de uso de software,"199518,7800000000000000","199518,7800000000000000","6,00000000",0004/2024,1970-01-01,1970-01-01,4198254000117,MCR SISTEMAS E CONSULTORIA LTDA.
